cluster_nodes,n,k,run,method,time
1,1000,10,4,PySpark,0.4505314826965332
1,1000,10,4,QR,2.05009126663208
1,1000,10,4,SVD,1.4981498718261719
1,1000,20,0,PySpark,0.4211723804473877
1,1000,20,0,QR,2.4928886890411377
1,1000,20,0,SVD,1.2453196048736572
1,1000,20,1,PySpark,0.36873817443847656
1,1000,20,1,QR,1.911637306213379
1,1000,20,1,SVD,1.4183833599090576
1,1000,20,2,PySpark,0.41748046875
1,1000,20,2,QR,1.9215097427368164
1,1000,20,2,SVD,1.2808940410614014
1,1000,20,3,PySpark,0.38508176803588867
1,1000,20,3,QR,1.905994176864624
1,1000,20,3,SVD,1.2431931495666504
1,1000,20,4,PySpark,0.36428403854370117
1,1000,20,4,QR,1.9150700569152832
1,1000,20,4,SVD,1.3244500160217285
1,1000,30,0,PySpark,0.41849613189697266
1,1000,30,0,QR,2.6033966541290283
1,1000,30,0,SVD,1.459252119064331
1,1000,30,1,PySpark,0.43396735191345215
1,1000,30,1,QR,2.1763761043548584
1,1000,30,1,SVD,1.4385089874267578
1,1000,30,2,PySpark,0.40430569648742676
1,1000,30,2,QR,2.0668890476226807
1,1000,30,2,SVD,1.4574732780456543
1,1000,30,3,PySpark,0.4108414649963379
1,1000,30,3,QR,2.04107666015625
1,1000,30,3,SVD,1.5697789192199707
1,1000,30,4,PySpark,0.41936373710632324
1,1000,30,4,QR,2.108027219772339
1,1000,30,4,SVD,1.439274549484253
1,10000,2,0,PySpark,0.503861665725708
1,10000,2,0,QR,3.190953016281128
1,10000,2,0,SVD,1.804323434829712
1,10000,2,1,PySpark,0.5606231689453125
1,10000,2,1,QR,2.439728021621704
1,10000,2,1,SVD,1.8278601169586182
1,10000,2,2,PySpark,0.5101020336151123
1,10000,2,2,QR,2.286943197250366
1,10000,2,2,SVD,1.5903232097625732
1,10000,2,3,PySpark,0.480208158493042
1,10000,2,3,QR,2.240995168685913
1,10000,2,3,SVD,1.5996100902557373
1,10000,2,4,PySpark,0.5174546241760254
1,10000,2,4,QR,2.4427764415740967
1,10000,2,4,SVD,1.5443141460418701
1,10000,10,0,PySpark,0.7390475273132324
1,10000,10,0,QR,3.848130941390991
1,10000,10,0,SVD,2.488063335418701
1,10000,10,1,PySpark,0.7730648517608643
1,10000,10,1,QR,3.3917295932769775
1,10000,10,1,SVD,2.5604870319366455
1,10000,10,2,PySpark,0.737868070602417
1,10000,10,2,QR,3.2965903282165527
1,10000,10,2,SVD,2.5392568111419678
